,weight
AMP,0.012270728049030484
ARDR,0.01895375794664113
BCN,0.013701336359711064
BCY,0.007359163545309323
BELA,0.012797454173748442
BLK,0.013467828862851113
BTC,0.014048003141939831
BTCD,0.017578309384067247
BTM,0.013643167704018796
BTS,0.01964714341894759
BURST,0.01991256955525706
CLAM,0.010046389181398037
DASH,0.021753435717898246
DCR,0.02526781176791059
DGB,0.023748374443591614
DOGE,0.013621805362962562
EMC2,0.027771583589856548
ETC,0.01627497063371922
ETH,0.024617248005990768
EXP,0.014275809910699037
FCT,0.013115170439458179
FLDC,0.01616561570262769
FLO,0.019302469107619683
GAME,0.012358867370336294
GRC,0.01173746566036609
HUC,0.014282473757970654
LBC,0.01747290489456161
LSK,0.024176757348184242
LTC,0.02134961765325812
MAID,0.008343769500283404
NAV,0.018676725321428337
NEOS,0.020990440295414036
NMC,0.012620040613805564
NXC,0.013623336185938431
NXT,0.01830429489126888
OMNI,0.0141792975479211
PINK,0.020554136640087227
POT,0.012891742571499377
PPC,0.01315362560008591
RADS,0.015503793944307747
REP,0.014309073555885576
RIC,0.013710933358900841
SBD,0.0062527118539607044
SC,0.0211446531937012
STEEM,0.014273890168009815
STR,0.02523817085075388
STRAT,0.023266749225049826
SYS,0.02104120990573578
VIA,0.020970348155128743
VRC,0.018465021774660702
VTC,0.0225625740257874
XBC,0.018897688578002343
XCP,0.012565807944664505
XEM,0.023310821503597732
XMR,0.017191492139118667
XPM,0.01573563710880227
XRP,0.026120492255635185
XVC,0.013352269297934087
ZEC,0.012031019302700098
