,codeA,codeB,prcCor,rtnCor,volCor,sum
691,DGB,SC,0.9841884422586417,0.5378314162193891,0.6912466531312149,2.2132665116092456
792,ETC,ETH,0.9757506513371572,0.6861540317198773,0.4966152209021163,2.1585199039591507
370,BTCD,XBC,0.8271277342159322,0.4250082658192251,0.8095842714496778,2.0617202714848353
1307,NMC,PPC,0.988454070076131,0.5916718456772112,0.473298265972149,2.0534241817254912
1572,STR,XRP,0.9412272355876768,0.5711688471276138,0.5107352945318436,2.023131377247134
694,DGB,STRAT,0.9800511704783548,0.436657049479864,0.5954814136205976,2.0121896335788163
88,ARDR,NXT,0.9640192519198042,0.5394897524950732,0.5036852112099398,2.0071942156248173
1535,SC,STRAT,0.9633403840307969,0.4518359195275759,0.5074669333291951,1.922643236887568
1640,XEM,XRP,0.9762580614906573,0.4239970515185299,0.5079545116666082,1.9082096246757954
920,FCT,MAID,0.9368740189063367,0.5391088505437334,0.4288337937612125,1.9048166632112826
577,DASH,ETH,0.9675385435622978,0.5659443681953631,0.35312812968981494,1.886611041447476
802,ETC,LTC,0.9571941985113444,0.5783101695577643,0.3395020148322857,1.875006382901394
734,DOGE,SC,0.9804692550134526,0.37106398528613027,0.516496347592819,1.8680295878924018
935,FCT,STEEM,0.9685751260808787,0.45483526732467733,0.4364179938191603,1.8598283872247163
872,ETH,ZEC,0.9747157314257426,0.5706883387869688,0.3140344484847934,1.8594385186975049
868,ETH,XMR,0.9304766418118526,0.625395025718932,0.26959013638092677,1.8254618039117114
842,ETH,LTC,0.9658276261641479,0.6047718895665115,0.2529064211167024,1.8235059368473618
834,ETH,FCT,0.9635946182090147,0.5624935014661665,0.29741691939458653,1.8235050390697678
860,ETH,STRAT,0.9650957760896197,0.5098480047143015,0.34643894289129484,1.821382723695216
124,BCN,DOGE,0.9682602402929056,0.24213949610712265,0.6083982616467368,1.8187979980467652
452,BTS,NXT,0.9684488535907442,0.479675585556608,0.3703961821393283,1.8185206212866805
613,DASH,XMR,0.9504237268311717,0.5735889375070461,0.287029534538736,1.8110421988769536
854,ETH,REP,0.9540680830593159,0.5353729513167221,0.30987117125264857,1.7993122056286865
827,ETC,XEM,0.9677891271077048,0.4802784649893817,0.34311749219116383,1.7911850842882502
832,ETC,ZEC,0.9798644770178161,0.5186676723697711,0.29083304178952946,1.7893651911771167
1042,GAME,SC,0.9495448969710077,0.4192456551453547,0.41848671172337126,1.7872772638397338
558,CLAM,STR,0.8167932348868208,0.40985653588207854,0.5559561835897284,1.7826059543586277
794,ETC,FCT,0.9719635213081521,0.5273368078769659,0.28245371571957173,1.7817540449046898
814,ETC,REP,0.9377072641518289,0.5024714750678828,0.3394586663211771,1.7796374055408888
277,BLK,BTS,0.9778083916664785,0.4268800190715138,0.37051533385905505,1.7752037445970472
867,ETH,XEM,0.9790358629242618,0.5002911614883874,0.29068141341865805,1.7700084378313075
1569,STR,XEM,0.8994931338348967,0.46149630016854126,0.4004954993328483,1.7614849333362863
821,ETC,SYS,0.9704913334535988,0.4585339601977017,0.32600171424288193,1.7550270078941825
488,BURST,FLO,0.9523445626872035,0.33806549224788435,0.46006772832704185,1.7504777832621297
1536,SC,SYS,0.9530976695566689,0.4502810507168965,0.34521637107174064,1.7485950913453059
870,ETH,XRP,0.9654076045782112,0.4505616999034482,0.3238878044590825,1.739857108940742
432,BTS,DGB,0.9797153708115075,0.4633289721815766,0.29553284630714,1.7385771893002242
1215,LTC,XRP,0.9661480195987275,0.4183393503592208,0.35076208326037406,1.7352494532183225
820,ETC,STRAT,0.979380168208217,0.4888684439018709,0.26460486594047955,1.7328534780505676
436,BTS,ETH,0.9524828054135261,0.5451180086277888,0.2296848554752318,1.7272856695165468
918,FCT,LSK,0.9454081855701125,0.4626907853999117,0.31455331021703736,1.7226522811870617
744,DOGE,XEM,0.9438953824900317,0.3793507801705847,0.3972939389333383,1.7205401015939548
1556,STEEM,XEM,0.9513659628735576,0.44609462395197363,0.3223073730900305,1.7197679599155618
1548,STEEM,STR,0.9373686751747019,0.4429262704733292,0.33882755591581093,1.719122501563842
101,ARDR,SYS,0.9706498691741944,0.46185819283378526,0.28538908930365003,1.7178971513116297
848,ETH,NXT,0.9380620733713577,0.47733230705094415,0.2997645106290866,1.7151588910513884
830,ETC,XRP,0.9602759563200703,0.42063685433507936,0.33412495582706025,1.7150377664822098
828,ETC,XMR,0.8933302913984743,0.5552224786199218,0.2641052286279769,1.7126579986463728
671,DGB,GAME,0.9657683425205484,0.39711757573609074,0.34941921497364997,1.712305133230289
72,ARDR,ETH,0.9491154994308154,0.48073902538490926,0.2809138793346559,1.7107684041503806
801,ETC,LSK,0.9409873465608964,0.49227481872815143,0.2760577919992808,1.7093199572883286
617,DASH,ZEC,0.9321245967916131,0.5136708929376697,0.261389207636987,1.7071846973662699
1559,STEEM,XRP,0.9681566686969907,0.38800268986378733,0.35029455848683233,1.7064539170476105
857,ETH,SC,0.9520292956673329,0.4754750504534598,0.2789293110520293,1.7064336571728218
80,ARDR,LBC,0.8993914872322005,0.40004771138462153,0.4064893301689791,1.7059285287858013
464,BTS,STRAT,0.9756746737252672,0.44209137238032753,0.2854832681428587,1.7032493142484535
445,BTS,LSK,0.9182060862300472,0.4362639842513025,0.3448270515988902,1.69929712208024
937,FCT,STRAT,0.9734180680902804,0.47388882085446093,0.2495905964361843,1.6968974853809256
71,ARDR,ETC,0.9407631519990303,0.48119107623478036,0.2733775937285607,1.6953318219623714
1499,REP,ZEC,0.9448684687469565,0.45796876472909404,0.2922455855441541,1.6950828190202047
462,BTS,STEEM,0.9728712191162128,0.4832309472978737,0.23824401856883226,1.6943461849829187
1173,LSK,STEEM,0.936641468547256,0.41929699932588144,0.33634154244615827,1.6922800103192956
858,ETH,STEEM,0.9475376284985184,0.49390221741374307,0.2495260173552454,1.6909658632675069
1212,LTC,XEM,0.9588912929855609,0.4811339769683833,0.2509181661134858,1.69094343606743
919,FCT,LTC,0.9481624999649777,0.5204780751648441,0.21831535537467844,1.6869559305045
708,DOGE,ETC,0.9495168725514819,0.3872138342146114,0.3479843050132303,1.6847150117793237
1575,STRAT,SYS,0.955054826584259,0.4652435748263137,0.26322612469952394,1.6835245261100966
938,FCT,SYS,0.9681662592330348,0.43758746693164025,0.27680944257145434,1.6825631687361295
1533,SC,STEEM,0.9836597752418522,0.42215606549217516,0.27248552270580007,1.6783013634398274
934,FCT,SC,0.9738201500536914,0.44797538902707246,0.2554779595708454,1.6772734986516094
663,DGB,DOGE,0.9551299897478669,0.3549682880581173,0.3627455943417865,1.6728438721477707
1045,GAME,STRAT,0.9742600794956562,0.42225551617599616,0.2755903880278859,1.6721059836995382
797,ETC,GAME,0.9476482477354352,0.45576001916868253,0.266283624115086,1.6696918910192036
1204,LTC,STR,0.9346639890425239,0.47955256586132167,0.25346090063181276,1.6676774555356584
438,BTS,FCT,0.9831322638252252,0.5237353532293098,0.15856941308715117,1.665437030141686
817,ETC,SC,0.9634049530975667,0.44693427281834247,0.25433446331776244,1.6646736892336715
818,ETC,STEEM,0.9551467625816713,0.4648904763976001,0.24442872504221655,1.664465964021488
861,ETH,SYS,0.9798689435732072,0.48389921000604924,0.19926723723963577,1.6630353908188922
1232,MAID,STEEM,0.8758619912548049,0.4538618679752834,0.33213643824027,1.6618602974703585
914,FCT,GAME,0.9506313878861411,0.46187685403079,0.24873950603397746,1.6612477479509085
692,DGB,STEEM,0.9753304037278003,0.41658749242423604,0.2691661763689515,1.6610840725209879
1144,LBC,STRAT,0.9709767813487441,0.4072777654286698,0.2809546903009502,1.6592092370783642
152,BCN,SC,0.9839282011185434,0.2540990274365132,0.4196210799553672,1.6576483085104239
1495,REP,XMR,0.9057325359092955,0.49206241887380636,0.25904382921411606,1.6568387839972178
97,ARDR,SC,0.9389208512716593,0.4243556026929937,0.29304814092968084,1.6563245948943337
435,BTS,ETC,0.9742981695331377,0.5091136917458059,0.1727761201774808,1.6561879814564244
843,ETH,MAID,0.8930607460276286,0.5341790413858932,0.22680549654227908,1.6540452839558009
1141,LBC,SC,0.9673443023058151,0.39408951513213736,0.2924177817860517,1.6538515992240042
1052,GAME,XEM,0.9526517358370554,0.4282552252320795,0.27193319275359007,1.652840153822725
931,FCT,REP,0.9491109909339349,0.46209334916205136,0.24140611884237412,1.6526104589383603
841,ETH,LSK,0.9662060167832938,0.49684543663208647,0.189342875493605,1.6523943289089853
1183,LSK,XMR,0.9739062500041967,0.4713033955496598,0.20689463822541734,1.6521042837792739
808,ETC,NXT,0.9555883952584154,0.4792004254528721,0.21485757273189174,1.6496463934431793
1213,LTC,XMR,0.9598086605234956,0.5689374043926743,0.11907752811044416,1.6478235930266139
107,ARDR,XEM,0.9547653574849735,0.43758606278770557,0.25492062816872074,1.6472720484413998
695,DGB,SYS,0.9588610804294194,0.42394280377928517,0.2630040622496797,1.6458079464583841
709,DOGE,ETH,0.9342960039504256,0.4119237450775363,0.2981384123304073,1.6443581613583693
542,CLAM,MAID,0.9438915390245268,0.43883983567813056,0.26005623570896536,1.6427876104116228
509,BURST,SC,0.9797594408540937,0.4562764009102893,0.2058022398778274,1.6418380816422105
917,FCT,LBC,0.9655153589108003,0.41160792189290596,0.26358106615126065,1.640704346954967
